id,task_name,status,datetime
1,Write documentation,InProgress,2024-07-22 21:15:39
2,SLEP,DONE,2024-07-22 21:23:31
3,SLEP,DONE,2024-07-22 21:23:35
4,task1,DONE,2024-07-22 21:48:01
5,task2,InProgress,2024-07-22 21:48:01
6,task3,DONE,2024-07-22 21:48:01
7,task4,InProgress,2024-07-22 21:48:01
8,task5,DONE,2024-07-22 21:48:01
9,FOOD,DONE,2024-07-22 21:51:43
10,drinks,InProgress,2024-07-22 21:51:43
11,watches,DONE,2024-07-22 21:51:43
12,sits,InProgress,2024-07-22 21:51:43
13,sleeps,DONE,2024-07-22 21:51:43
